epoch,g_loss,d_loss,l1_loss,wasserstein_d,l1,mse,psnr
1,3.915114258344357,0.06604283947585166,0.04054501861270167,0.06036158661461539,0.015592132322490215,0.003111958736553788,25.09913403208257
2,2.6656670552543087,-0.015387203704905383,0.028953273919944324,0.06883695016368332,0.014087234996259213,0.0027226551435887815,25.676920004161268
3,2.370303602554859,-0.027704143821078737,0.026621303349956233,0.07202246071945907,0.013215532712638377,0.002630844106897712,25.82299097419367
4,2.2048012043675804,-0.034922234124989605,0.025317132739652682,0.07279040573690182,0.01323565822094679,0.0026729713659733533,25.754077472500718
5,2.0448707087427125,-0.039754220817843085,0.024354274273237102,0.07359890135116556,0.012538791447877885,0.0025292920414358377,25.98887488971716
6,1.9232127348072507,-0.04165333798526657,0.023643631388584517,0.07354449560372238,0.01239910488948226,0.002554895053617656,25.954594460537532
7,1.7843264552772555,-0.04341082819113958,0.023016856676843177,0.07440270340213409,0.011945975851267577,0.0024253166164271535,26.177068260213638
8,1.672411635135993,-0.044469803612827825,0.022457657497312523,0.0743851741282349,0.012000492494553327,0.0023187964456155897,26.366783443225245
9,1.5790193720251067,-0.04479134294530772,0.021940687615583595,0.07420675704876582,0.011935339961200952,0.0024131869664415716,26.205770082232334
10,1.5389926833474739,-0.04483340089036908,0.021497357258589096,0.07372414250659128,0.011934226378798485,0.0024183359928429127,26.186741397698473
11,1.4956375862288678,-0.044750985227779955,0.02110083268668789,0.07313361681169933,0.011806105729192495,0.0024471515673212705,26.139202054608297
12,1.4594897276315935,-0.044364906986777405,0.02068329405071389,0.07190082916337201,0.01179336355999112,0.00243939645588398,26.152646741181126
13,1.4102107943632665,-0.0441646094333136,0.020317257397895694,0.07053010802493136,0.011985062900930644,0.0024095118162222205,26.20060383382397
14,1.4076126261144621,-0.04346663382652604,0.01999636019906427,0.07008725500259644,0.011730950325727463,0.0022878629504702987,26.428272064127537
15,1.405103089972439,-0.042468878881013486,0.019670467807823777,0.06838313057127161,0.011675141099840403,0.002380193839780986,26.254108024758164
16,1.3908321865094013,-0.041290650036759115,0.019349142777709626,0.067617571952506,0.011749021615833044,0.002310389606282115,26.384387723148507
17,1.36787521533477,-0.040660516787426514,0.019057507793872785,0.06635617025387593,0.012172227445989846,0.002451444091275334,26.124261710834112
18,1.3530878190301423,-0.03988286559642463,0.01877691788582975,0.06527083991175024,0.011612495966255664,0.0023480029427446424,26.32256419304853
19,1.3440434447465799,-0.03879842192380349,0.01850372298947002,0.06407536693617828,0.011703453958034515,0.0024046232807449996,26.220457661235656
20,1.3578692836384487,-0.03791166076627678,0.01826825571190725,0.06281391168252015,0.011641516536474227,0.0022998509812168777,26.41215061414769
21,1.3425739703015385,-0.036988231020467506,0.01801281173227944,0.06173879920672148,0.011666887532919645,0.0023309705196879805,26.35207547327709
22,1.314810187006608,-0.03645332052406888,0.017795532293076444,0.06068430006758779,0.011661035940051079,0.0023566073272377253,26.300785211821772
23,1.290367996463409,-0.03529638188103068,0.017593545498899542,0.059657326875588834,0.011660064943134785,0.0023366816225461663,26.34253625231691
24,1.2840015944252667,-0.03471215464509068,0.01736676220734341,0.05846779134411078,0.01161729609593749,0.002294095908291638,26.415726251944186
25,1.2515337358937304,-0.03398953716236132,0.01718488570430085,0.057718513294672355,0.011764162126928568,0.00238995625404641,26.239712136189052
26,1.234512453405266,-0.0331325280636634,0.01699403995194305,0.05635015599620648,0.011692661512643098,0.0023639358580112456,26.29178002472134
27,1.2239523699395678,-0.032223050929659026,0.016808756258991413,0.05573678924105106,0.011807917430996896,0.0023827328812330963,26.259769290037145
28,1.2666587074342956,-0.0317471937430317,0.016633170461839337,0.054798689424100086,0.011610147636383772,0.002337096049450338,26.342204435136146
29,1.2829400958159032,-0.03097968709992082,0.016495770494190928,0.05400618869397375,0.01162161324173212,0.00238967111799866,26.24354597962315
30,1.272122761505282,-0.03034838166040104,0.01631808055875202,0.05332879677542254,0.011786991357803344,0.0023803297663107514,26.269714745880453
