epoch,loss,l1,mse,psnr
1,0.05380748585821726,0.022655745781958104,0.004886666731908918,23.11546029335397
2,0.04462574804440523,0.02161785140633583,0.004700155695900321,23.28738152439041
3,0.042872112645552705,0.020852087624371053,0.004482799535617232,23.490508027286566
4,0.04185058059027562,0.02067530360072851,0.004520081449300051,23.45829436749808
5,0.0412323356534426,0.020396219007670878,0.004218881297856569,23.75360112368325
6,0.04078450956596778,0.020489273220300676,0.004468067223206163,23.505441456555403
7,0.04042067753198819,0.02039382476359606,0.00428446913138032,23.6907181938102
8,0.0401010489043517,0.019858408346772195,0.004270822461694479,23.703282493050317
9,0.03986614854672016,0.019751830771565438,0.004249383462592959,23.727888752042908
10,0.03959286856727722,0.020047716982662677,0.004284856887534261,23.690644683243317
11,0.039482157801588376,0.019826512970030307,0.004244278953410685,23.73460152787644
12,0.03920946521445727,0.019648527540266515,0.00419545613694936,23.779917868050603
13,0.039160160070810565,0.019411782920360564,0.004118281346745789,23.871894402419727
14,0.03904047555839404,0.019280380010604857,0.00404389996547252,23.93963280852726
15,0.03874266668198965,0.019585431925952433,0.004169711051508785,23.804135211390378
16,0.03870504159384813,0.019621264934539796,0.004196507204324007,23.77906665986928
17,0.038547566007727234,0.019049693271517752,0.00399108303245157,24.01007012647583
18,0.03849888495527781,0.019272763282060623,0.004048423585481941,23.944942384945776
19,0.03828147804507842,0.01907722856849432,0.004060355178080499,23.931208334647035
20,0.0383091525389598,0.018929405137896538,0.0039724741829559205,24.01747631878019
21,0.03808028834561507,0.018865229561924934,0.0038464803714305163,24.15205566441049
22,0.03805165770344245,0.018999107554554938,0.003984635160304606,24.009395518282236
23,0.03798268270225097,0.019316761568188668,0.0041083846474066375,23.882772478008125
24,0.03786765583432638,0.018933571130037307,0.004011587402783334,23.987810840642616
25,0.037733805084075686,0.01917292717844248,0.004027450527064502,23.96369345258078
26,0.03774880108733972,0.01903918422758579,0.004054223420098424,23.932244223074225
27,0.03760198841874416,0.018862069956958293,0.004013208393007517,23.97677158038921
28,0.03756589252406206,0.0187177998945117,0.003946373681537807,24.050255638463064
29,0.03748510859142511,0.01881483420729637,0.003975235531106592,24.01876216007554
30,0.03742681276530792,0.018802684918045997,0.003971034078858793,24.027928334957032
