epoch,loss,l1,mse,psnr
1,0.08722327436719622,0.03762041094402472,0.011780830876280865,19.298971123692176
2,0.06773150499377932,0.031016627016166847,0.008905347591886917,20.51746507997268
3,0.058370048446314673,0.02898913746078809,0.008270399101699391,20.8362095146173
4,0.054406573596809595,0.027541668464740116,0.007689094170928001,21.15039855084795
5,0.05116335455594318,0.026937005730966728,0.0075946280267089605,21.204871670844195
6,0.04833787752847586,0.026692890251676243,0.007565723732113838,21.21835105656349
7,0.04597542195447853,0.027120929832259815,0.007478508710240324,21.276659604647783
8,0.04379674120407019,0.026487616822123528,0.007651389266053836,21.170509357630294
9,0.04206595130796943,0.026888221502304077,0.007911318369830648,21.025555595461217
10,0.039941602918718545,0.026145017705857754,0.007665466051548719,21.160546162453787
11,0.0382080193209861,0.026258328308661778,0.0077671383041888475,21.10911487567504
12,0.036555444821715355,0.025625891362627346,0.007402412360534072,21.319542234545768
13,0.03484347662223237,0.026378446879486244,0.007872049153471986,21.055270372581756
14,0.03357580334081182,0.025967779258886974,0.007699014851823449,21.14519125390824
15,0.03200534262162234,0.025705033913254738,0.0075916508212685585,21.20747482801006
16,0.0304322383100433,0.025435342142979305,0.0074396985583007336,21.292856250465785
17,0.029608633934653232,0.025107053418954212,0.007173198663319151,21.454283615812454
18,0.02859027297901256,0.025401411888500054,0.00744041792737941,21.296851513221043
19,0.027879004200388278,0.025606843022008736,0.007719318304831783,21.13816412034149
20,0.027356079180857966,0.02530757337808609,0.007528927254800995,21.243310082033073
