epoch,g_loss,d_loss,l1_loss,wasserstein_d,l1,mse,psnr
1,10.373242463384356,1.743072375522128,0.09253710401909691,1.7549725462283408,0.0384522657841444,0.013049079726139704,18.85546538287808
2,6.972210833004543,1.7083202669884836,0.07308727130293846,1.00046935384827,0.03300120495259762,0.01054442689443628,19.778430740805266
3,6.968723816531045,0.8903312491740853,0.06430061866662332,0.49235774470227106,0.03216569498181343,0.010414408519864082,19.824673133397145
4,5.757613675934928,1.1206489815376703,0.061530008047286956,0.5637360936296838,0.030910310956339043,0.009984850262602171,20.02493885503354
5,5.563390753098896,0.8606596460477228,0.05707448760845831,0.6541885523391622,0.029457123950123787,0.009300913972159227,20.325039246334796
6,5.769146817071097,0.07161021826877483,0.0547049228501107,0.7658383835639272,0.028393462300300598,0.008481226240595182,20.718449303518405
7,5.354510273252215,-0.001566697266839803,0.052176545041480234,0.8545661978423595,0.027438413351774216,0.007943037121246258,21.006420604518212
8,5.173725243125643,-0.1555616000578517,0.04963496407227857,0.8611416752849307,0.027867114481826622,0.008637738724549612,20.64655718720945
9,4.8954171027456015,-0.17808684023718033,0.04691359068134001,0.9160258674195835,0.027430531568825245,0.008370344992727041,20.776391062042983
10,3.515923091343471,2.4673785666624695,0.04435451415234378,0.9424941358821732,0.027537954971194267,0.008380006222675243,20.772503114762348
11,6.134277339492526,0.1984815682683672,0.042503550848258395,0.9480067161577088,0.027295376174151897,0.008266093131775657,20.831182947227106
12,4.119589103119714,-0.06451008362429486,0.04030935572726386,0.9026406077401978,0.027710577473044395,0.008658571789662043,20.629342345087494
13,6.3064179973942895,-0.3413488086135615,0.03836384874635509,0.8692052172763007,0.02852014886836211,0.008934400820483765,20.4935632016938
14,5.105819800070354,-0.2638172347630772,0.03655511586527739,0.8736969392214503,0.0272706663236022,0.008587855069587627,20.670411465600967
15,4.101665814008031,0.6210025910820279,0.035326047035466344,0.8606442543012756,0.026511802648504574,0.008122256491333246,20.91163963739376
16,3.8154191843100955,0.33274964642311833,0.03388422627800277,0.8317635538322585,0.026978471005956333,0.008232300324986378,20.85097021463154
17,2.830970591732434,-0.1939667051746732,0.032632294742922695,0.7832867412694863,0.027116830771168072,0.008579245768487453,20.67523136260304
18,1.4335713003362929,0.5048986490638484,0.031624660827219486,0.7547913997301033,0.027357219097514946,0.008409243542701006,20.75994718548878
19,5.2737997727734705,0.2588466679056485,0.030890968328874027,0.7699542141386441,0.027037860204776127,0.00804883660748601,20.946089365969076
20,1.8496768857751573,0.9713596731779122,0.029831233633948222,0.7538154987352235,0.026263024968405563,0.0076314234174788,21.18217303635507
21,5.199375061052186,-0.29257853435618547,0.028970263865111128,0.7059854396751949,0.027518246012429397,0.008425256547828516,20.748944345434822
22,2.52711361008031,-0.013369436774935036,0.028248392743989825,0.6874784422772271,0.026638276254137356,0.008304836616540948,20.8135994953325
23,2.356547072529793,-0.27838674808541936,0.027616452059841583,0.6788659234132085,0.026427893588940304,0.00809112781037887,20.925422502343494
24,3.3591645125831877,0.3548201249823684,0.02711477636226586,0.6537112130650452,0.02661240939050913,0.008079238701611757,20.934658746947
25,1.6878309271165304,0.08924069282199644,0.02650249094170119,0.604859781052385,0.02708289244522651,0.008533267149080833,20.69322393166628
26,1.715794392994472,-0.1848136032266276,0.026209321139114245,0.608834233134985,0.027157843423386414,0.008634662721306086,20.64927918226972
27,3.7397395883287703,-0.24152188632814658,0.025521563133224845,0.6021284221538475,0.026546455609301727,0.00826358888298273,20.83620892844984
28,1.6312558438096727,-0.2563686066617568,0.02500197517552546,0.5916170493832656,0.027434279831747215,0.008904712274670601,20.508757546847345
29,2.9067609161138535,0.3300869197895128,0.024759745291833366,0.5476307858313832,0.026475311256945133,0.008069944878419241,20.94340757529905
30,2.7290609159639905,-0.08417329201031305,0.024321834091097116,0.5667886462594781,0.02706672561665376,0.008428716411193212,20.74397211870505
31,1.9119057208299637,-0.06955468237754843,0.024070010287687182,0.5646521614066192,0.026449762284755707,0.008039148524403572,20.95086015929314
32,3.676275527903012,0.11677559101510622,0.02338059462739953,0.5379231524254594,0.026526129494110744,0.008190641645342112,20.86864144328375
33,2.973359450697899,-0.21941101018871575,0.023124280186103924,0.5209818647376129,0.02579813947280248,0.0075858566754808026,21.201352851215695
34,1.6297293603420258,-0.18132730981423742,0.02279252459162048,0.5102888877902713,0.026479867286980152,0.008123377648492655,20.907317142355932
35,1.5388684677226203,0.9034240271541334,0.02268662290381534,0.4799722784331867,0.026145233772695065,0.00787070804896454,21.046759761171916
36,0.7200885989836284,-0.13400680811277463,0.022307519767699496,0.4719955176115036,0.025700333217779796,0.007553112382690112,21.221744797757502
37,2.0761294854538783,-0.1941123383917979,0.021926338518304483,0.46667011614356724,0.026315674496193726,0.008096987381577492,20.919203308476767
38,1.0479910522699356,-0.08080373757651875,0.02168592401514096,0.4442345526601587,0.026444755494594574,0.008314269206797084,20.807973361596307
39,0.5614667236804962,-0.124735014069648,0.021385933372325132,0.43009456247091293,0.02676097396761179,0.008149493175248304,20.890392389443
40,1.188369476369449,-0.06847701638582207,0.020957234082743526,0.42585096934012007,0.026105794434746105,0.007854811614379287,21.0555881261945
