epoch,loss,l1,mse,psnr
1,0.0349534039831378,0.01411129729822278,0.0029298858018592,25.36427681932711
2,0.02735906785640579,0.013491024728864431,0.0027914652368053795,25.57787935934102
3,0.025778698675238933,0.012779659871011973,0.0026315355906262996,25.832782597494894
4,0.02483807355324682,0.012700994778424502,0.0025153778959065677,26.012926281108356
5,0.024079453797103502,0.01224007960408926,0.0024623231729492545,26.10512774278049
6,0.023481221312386356,0.012166127935051918,0.002411345182918012,26.201646847764806
7,0.023022792250331905,0.012139863055199384,0.0024519641883671284,26.131921391807946
8,0.02251565697977049,0.012124731671065092,0.002401334955357015,26.213623955949146
9,0.02205558219908649,0.01183395804837346,0.002347261761315167,26.32041163236989
10,0.021647980886423945,0.011783569678664207,0.0023895007790997623,26.241559602106996
11,0.021267437181061406,0.011695869360119104,0.0023560592788271608,26.305041738414456
12,0.020876358430355024,0.01165514774620533,0.0023327145958319307,26.359174194741968
13,0.020602861061119117,0.011799652129411697,0.00240362606709823,26.22300706588
14,0.020216639038239025,0.011629207618534565,0.002308405004441738,26.399087727298877
15,0.01992571019193428,0.01165411453694105,0.0023311783093959092,26.352428867536446
16,0.019573422124943674,0.011598470155149698,0.0023669155314564707,26.293361210885926
17,0.0192816346947454,0.011653277091681957,0.002311427961103618,26.388922200333422
18,0.019015502391590014,0.011507178843021392,0.002270932332612574,26.47325837381431
19,0.018741060569723193,0.01153646558523178,0.002297192276455462,26.40989057962276
20,0.018428619003767133,0.01157409967854619,0.0022995030391030013,26.407998790985893
