epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr,is_best,best_epoch
1,9.739650089263916,1.0284857944807542,0.2319252967702018,0.3013931805541118,0.014023694023489953,0.003021095087751746,25.233671603206215,0.09972404465079307,0.02148334216326475,16.714297102479684,True,1
2,4.715237454732259,-0.05691962096757357,0.18573904836177826,0.3795639434390598,0.012357015442103148,0.002264028415083885,26.49708390857152,0.08787210583686829,0.01609975742176175,17.977709330730967,True,2
3,1.2829295904371474,-0.15930101576668226,0.17359556567668916,0.4019022809664408,0.011209235340356827,0.001970051636453718,27.120527591746146,0.0797101154923439,0.014009255729615689,18.601153044836735,True,3
4,0.7693098203870985,-0.05088815419431082,0.1664256519873937,0.3923252702818977,0.011068214196711779,0.0019558026106096804,27.16708466689613,0.07870729863643647,0.013907929323613644,18.647710126097497,True,4
5,-0.31836403656005857,-0.1475082005902572,0.1615185008711285,0.3786889431079229,0.01106606787070632,0.001883237820584327,27.32083011136881,0.0786920353770256,0.013391913101077079,18.801455555054922,True,5
6,-0.20811027569240995,-0.1466856271668717,0.15808716734912662,0.3710098744498359,0.01050126263871789,0.0018566732527688147,27.373028121298297,0.0746756449341774,0.013203009404242039,18.853653603272807,True,6
7,-0.09436994891696505,-0.17162156930786587,0.15512517992655436,0.36457679306136237,0.01044478639960289,0.0017834577942267061,27.579734430932216,0.07427403330802917,0.012682366091758013,19.06035993324597,True,7
8,0.8183360400729709,-0.17865061252646955,0.1530888110664156,0.36352217001385156,0.010436574462801218,0.001916736934799701,27.279816458880198,0.07421563751995564,0.013630128838121891,18.760441961060543,False,7
9,1.2838265357547336,-0.15778899132212013,0.1510238694879744,0.34823441269662647,0.010251348372548819,0.0017189425299875439,27.681463524594555,0.0728984758257866,0.012223590910434724,19.16208902387162,True,9
10,1.319366183174981,-0.13958353615910923,0.14852813104788462,0.3341279238594903,0.010166192706674338,0.0018608848797157407,27.46670346787252,0.07229292280972004,0.01323295896872878,18.94732887359293,False,9
11,0.8976632495456272,-0.07291146787890684,0.14724259652694066,0.32296180386013457,0.009729525540024042,0.001561129093170166,28.112310870771502,0.06918773613870144,0.011101362202316523,19.592936319737124,True,11
12,0.45409546343485513,-0.14193014078449329,0.14522717934184604,0.31978864851262834,0.009716571867465973,0.001635024358984083,27.93781200271174,0.06909562051296234,0.011626839730888605,19.41843743652742,False,11
13,0.6279309588538275,-0.15433783363081785,0.1436814295914438,0.32436866144339244,0.00949477767571807,0.0015583278727717698,28.112061058010067,0.06751841679215431,0.011081442423164844,19.592686509736797,False,11
14,1.0841126215193007,-0.1446519510414863,0.14277799479166667,0.3173127757708232,0.009479147288948298,0.0015679944073781372,28.140309707633747,0.06740726865828037,0.011150182178243994,19.62093517358675,True,14
15,0.07414009369744196,-0.13455800777011437,0.14157652704583273,0.31789695150322383,0.009826189279556275,0.0017598416889086366,27.632641673975986,0.06987512111663818,0.01251442926004529,19.11326719619531,False,14
16,-0.9009788235558404,-0.059919520786514975,0.14124970590405994,0.31426776362790004,0.009746492095291614,0.0016190638882108033,27.938041550330723,0.06930838674306869,0.011513342894613744,19.41866701755239,False,14
17,-0.17444178093804252,-0.027174923413329673,0.13967129970259137,0.3097075366841422,0.009738209750503301,0.0016215228126384318,27.999949020510723,0.06924948990345,0.011530828662216663,19.480574454476415,False,14
