dataset,mask_type,exp_name,lambda_l1,final_full_l1,final_full_mse,final_full_psnr,final_hole_l1,final_hole_mse,final_hole_psnr,best_epoch,best_hole_psnr,best_hole_l1
celeba_kaggle,center,l1,100,0.007450901390984655,0.0009660956682637333,30.22853327756423,0.05298418588936329,0.006870013335719705,21.709158824314663,17,21.76876788724838,0.05269944816827774
celeba_kaggle,center,gan,100,0.007694434560835362,0.0010115185810718685,30.029605685542492,0.05471597649157047,0.007193020777776837,21.510231181320723,28,21.758177700345065,0.053653834760189055
celeba_kaggle,random_box,l1,100,0.008913062326610089,0.0013460541027598082,28.77902187146982,0.06338177435100079,0.009571939986199141,20.259647366514734,20,20.259647366514734,0.06338177435100079
celeba_kaggle,random_box,gan,100,0.008477634564042092,0.0013269308605231346,28.89174071959358,0.06028540022671223,0.009435952547937632,20.372366167243918,38,20.8403040616945,0.058326007425785066
celeba_kaggle,center,gan_lambda50,50,0.00753996642306447,0.0009888449625577778,30.12647132536916,0.053617538139224055,0.007031786302104592,21.60709674121649,40,21.60709674121649,0.053617538139224055
celeba_kaggle,random_box,gan_lambda50,50,0.00849936567246914,0.0013347138185054064,28.872918778854984,0.060439932346344,0.00949129811488092,20.35354419735923,38,20.834662516150342,0.05807796232402325
