epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr
1,17.514445392608643,0.21846474871867244,0.1746519971423679,0.7398796134127511,0.010429451242089272,0.0014883585274219513,28.337859201559446,0.07416498363018036,0.01058388240635395,19.81848474213143
2,12.41606711154514,-0.18226002890975374,0.13667440848880344,0.6612496152983771,0.008759062830358743,0.0012027350487187505,29.274646372919744,0.06228666566312313,0.008552782330662012,20.75527183867574
3,11.385368111504448,-0.27899768062432617,0.12590770118766362,0.6000260181956821,0.008434536959975958,0.0011482882429845632,29.478822294776666,0.05997892655432224,0.008165604947134853,20.95944782035797
4,10.971662523905437,-0.2947551230037659,0.1188116820719507,0.548942329512702,0.007996571622788906,0.0010209339146967978,29.975583617323252,0.056864507496356964,0.007259974302724004,21.456209105247275
5,10.308453029632568,-0.28970504987681345,0.11327511752314037,0.5189831242296431,0.007945365644991398,0.0010584433213807643,29.830032539570475,0.05650037601590156,0.007526707788929343,21.31065804311964
6,9.950789446512857,-0.25974955119468524,0.10820885919862323,0.4861037591298421,0.007996198302134872,0.0010812644613906741,29.718105707224385,0.05686185322701931,0.0076889914460480215,21.198731218167502
7,9.99133069144355,-0.23729195852632884,0.10379046167929967,0.4559731973939472,0.007770232018083334,0.0010123356943950057,30.02642815975638,0.05525498278439045,0.00719883143901825,21.507053609548546
8,9.951025620354546,-0.26605620795488355,0.09973990722497304,0.4315499150223202,0.007580208405852318,0.000967772479634732,30.222476454129026,0.05390370264649391,0.006881937431171536,21.703101928985006
9,9.304573094685873,-0.25035267605825684,0.09571559161610073,0.4046001573668586,0.007663306128233671,0.0009901543671730906,30.115571636860846,0.05449462011456489,0.007041097432374954,21.596197162896424
10,8.768808987935385,-0.238464204651338,0.09222327000564999,0.381262949930297,0.007791023468598723,0.0010498312651179731,29.863365275502378,0.055402832105755806,0.00746546657755971,21.343990746118582
