epoch,loss,l1,mse,psnr
1,0.0390813325643221,0.014655859582126141,0.00340437451377511,24.68916158389998
2,0.02829840738310391,0.013452397659420967,0.00297836079262197,25.27609946817183
3,0.026277285180667527,0.012764644436538219,0.0027879164554178715,25.57453104749562
4,0.025046598930389453,0.012579528614878654,0.002758593461476266,25.62684813891558
5,0.024289407293734133,0.012143551651388407,0.0025863876333460213,25.904262994609297
6,0.02374683016449468,0.011598530877381562,0.002413622639141977,26.18562182545141
7,0.023245834247965332,0.011543788202106952,0.0024048861814662814,26.21256046265924
8,0.02284185076928419,0.01129845343530178,0.0022973684943281116,26.41032114249804
9,0.022473537383012027,0.010951631981879473,0.0022180640138685704,26.550330528156916
10,0.022174847463512014,0.011405122745782138,0.0023909111274406313,26.241978350579267
11,0.02205731078950513,0.011142899747937918,0.002321861882228404,26.394436234846307
12,0.02162885253962416,0.011002197302877903,0.002245065686292946,26.497365653957267
13,0.021395631711611636,0.010684845969080925,0.0021456642309203742,26.732882952389154
14,0.021342088329072438,0.01087263198569417,0.002203716174699366,26.5861588484773
15,0.021143087934161354,0.010694440454244614,0.002177686872892082,26.660979181008333
16,0.02099819376698544,0.010508385114371776,0.0020979106542654336,26.80776792668089
17,0.02086698891531326,0.010237162187695503,0.001973634446039796,27.08182719892568
18,0.020676202825310394,0.01061476832255721,0.002094009635038674,26.837782610870555
19,0.020578838283848815,0.010191104654222728,0.0020293698296882214,26.941037832056573
20,0.020434315758160293,0.010286622028797866,0.002020876877941191,26.969189961321867
