epoch,loss,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr
1,0.22669748561912112,0.012824441399425268,0.0024474192410707473,26.170869668235973,0.09119602516293526,0.017403870169073344,17.651495024895233
2,0.18173432305786344,0.01202815268188715,0.002355506084859371,26.39004097725844,0.0855335272848606,0.01675026472657919,17.870666537617744
3,0.17041948175430296,0.011057350412011146,0.0018450066912919284,27.35938795658179,0.07863004431128502,0.013120047096163035,18.840013473672773
4,0.16366607954767015,0.011009725648909808,0.002056056761648506,26.94588873573715,0.07829138115048409,0.014620847813785077,18.426514174507936
5,0.15969798211918937,0.010454829130321742,0.0018337824614718557,27.439848363184183,0.07434544935822487,0.01304023051634431,18.92047382915262
6,0.15529784638351865,0.010600997880101205,0.0018674257909879089,27.335190336151367,0.07538487166166305,0.013279471639543771,18.815815904056098
7,0.15266894266340467,0.010487222950905562,0.0019063495798036455,27.2321028834866,0.0745758056640625,0.013556263595819473,18.71272827148353
8,0.1504124061200354,0.010186475794762373,0.0017683582962490618,27.544986240958984,0.07243715971708298,0.01257499186322093,19.025611751932455
9,0.14856365712483724,0.009869854897260666,0.0016707434318959714,27.811406375255178,0.0701856330037117,0.011880841851234437,19.292031833984502
10,0.14675994062423706,0.009625700395554304,0.001656524557620287,27.86696588011152,0.06844942271709442,0.011779729835689067,19.34759136158422
11,0.14518393845690622,0.009767231624573469,0.0016270329593680798,27.920724315666604,0.06945586875081063,0.011570011917501687,19.401349760461446
12,0.1432615517311626,0.009500531945377588,0.001646114804316312,27.911389638035182,0.06755933538079262,0.011705705057829618,19.392015090575917
13,0.1420797047747506,0.009789733681827784,0.0017011313349939883,27.760883710281895,0.06961588226258755,0.012096933741122484,19.24150914182909
14,0.14108000220192804,0.009255490358918905,0.001449153176508844,28.426239669076587,0.06581681855022907,0.010305088991299272,19.906865131849077
15,0.14008868077728484,0.009319028351455927,0.0015471646911464632,28.160708907179163,0.06626864299178123,0.011002059560269117,19.641334453079793
16,0.13805075012975268,0.00927806030958891,0.0015528391813859344,28.14205547721779,0.06597731374204159,0.011042411625385284,19.62268095675448
17,0.13731437632772658,0.009303888957947492,0.0014877343783155084,28.332110545689336,0.06616098582744598,0.010579444281756879,19.812735986766015
18,0.13686172974771924,0.009184183925390244,0.0016078267712146045,28.013082596030735,0.06530974879860878,0.011433434765785932,19.4937079857775
19,0.1362874637113677,0.009102105628699064,0.0014736168668605387,28.383626987432546,0.06472608298063279,0.010479053156450391,19.864252391250545
20,0.13534342599577373,0.008913062326610089,0.0013460541027598082,28.77902187146982,0.06338177435100079,0.009571939986199141,20.259647366514734
