epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr,is_best,best_epoch
1,8.6641774236891,0.45054358956314305,0.17534249140818914,0.6237728846271833,0.010720482096076012,0.0015470638871192932,28.164470662373862,0.07623453736305237,0.011001343000680208,19.645096094790166,True,1
2,5.536040866639879,-0.2414487133313107,0.13755203799406687,0.5549889829158783,0.008975065499544143,0.0012577116605825723,29.079422288713936,0.06382268592715264,0.008943727100268006,20.56004778242716,True,2
3,4.211873204761082,-0.25670633752147326,0.12673007768392563,0.49795032234986625,0.008431109972298146,0.0011628949956502765,29.4170960218017,0.0599545568227768,0.008269475214183331,20.897721547394355,True,3
4,4.0648633480072025,-0.23597228774869886,0.11940779690610039,0.45123678341176776,0.008067476144060493,0.0010463634389452636,29.871680679537576,0.05736871771514416,0.007440806552767754,21.352306110819423,True,4
5,3.736135614183214,-0.24463931139972464,0.11374558518330256,0.4267463994158639,0.008029513014480471,0.0010808972583618015,29.72313640987886,0.05709875710308552,0.007686380250379443,21.203761910515947,False,4
6,3.8427744856940373,-0.2504595746099949,0.10866299801402622,0.40676555564668443,0.00797257898375392,0.001076907548122108,29.740623518179017,0.056693893298506735,0.007658008998259902,21.221249008821665,False,4
7,3.6605858811272514,-0.23523891571716027,0.10399157084359063,0.3807748537328508,0.00791587377898395,0.0010417260346002877,29.900362302692805,0.05629065670073032,0.007407829537987709,21.38098768266853,True,7
8,4.053090717315674,-0.21379805300522722,0.09996192346016566,0.36040423509809705,0.007652615103870631,0.0009947225218638778,30.093631802288428,0.05441859439015388,0.007073582289740444,21.574257209699546,True,8
9,3.696194501876831,-0.19434162430410054,0.09596804124779171,0.3364819901784261,0.007735478738322854,0.0010112393414601684,30.013884055840464,0.055007847398519515,0.007191035011783242,21.494509591319947,False,8
10,4.235065538830227,-0.17751550875107466,0.09245447141594357,0.31559361253844365,0.008126719715073704,0.0011555072735063732,29.436952545236057,0.057790004462003705,0.008216940239071846,20.917578103027633,False,8
11,4.509460865656535,-0.16119285746856957,0.08906384411785338,0.29620755292309653,0.00800970266573131,0.0010683205793611706,29.779758885083425,0.05695788413286209,0.00759694604203105,21.260384408064045,False,8
12,4.364906764984131,-0.14792226101954797,0.08612338460154004,0.2811352929274241,0.0076678192242980005,0.0010205434111412615,29.98117643001971,0.05452671349048614,0.007257197331637144,21.46180192136938,False,8
