epoch,g_loss,d_loss,l1_loss,wasserstein_d,l1,mse,psnr
1,4.610234393217625,0.026131289833599403,0.05525432278712591,0.148049814077333,0.023759808763861655,0.005424386169761419,22.664208053808682
2,3.7503480550570365,-0.07819145150546336,0.046021054713771894,0.15919652573573284,0.022335722297430038,0.004830625047907234,23.169601982163265
3,3.795473411755684,-0.09566761146371183,0.04392236688007147,0.16431233432048406,0.02158492021262646,0.004704365134239196,23.28089894451697
4,4.33938836378929,-0.10739375273259273,0.04273749587054436,0.1673873288700214,0.020995332300662993,0.0045539707411080595,23.419808580642474
5,5.286423437411969,-0.11520691710150133,0.04198359530896713,0.1697406678627699,0.02110196240246296,0.004743295023217797,23.24753118303686
6,6.050316036664523,-0.12070911690974846,0.04142499284293407,0.1705340883670709,0.020539713464677332,0.004484975384548307,23.49053741598258
7,6.363498977514413,-0.12623311900175538,0.04088678465057642,0.17213941873648228,0.02063484489917755,0.004671588586643338,23.318612112500023
8,6.620834581668561,-0.13106542236657223,0.04059004956522049,0.17265929503318592,0.02033579908311367,0.004295617993921042,23.678202333932767
9,6.774374872598893,-0.13301953493147836,0.04025798642482513,0.17276323147309133,0.019795707985758783,0.0042033005272969605,23.772503617590758
10,6.810083488317637,-0.13428333978622392,0.04004023264233882,0.17263036385560648,0.019969206303358078,0.004302344098687172,23.667452746537986
11,6.872986022019997,-0.13277190651776444,0.03976971359016039,0.17096827641511575,0.02019961513578892,0.004399301670491696,23.573447076827758
12,7.041956652127779,-0.13243073213558937,0.039620839145321114,0.17061825960110397,0.019724061898887157,0.004332966543734074,23.647552859186938
13,7.027603142078107,-0.13085044315482816,0.03949295903245608,0.16905350348888298,0.01980072483420372,0.004338196432217956,23.641768758873077
14,7.004800797731448,-0.13048167121079227,0.03929767816876754,0.16809659279309785,0.019435999728739262,0.004208712629042566,23.77481435604334
15,6.865305927472237,-0.12977494433140147,0.0391005489975214,0.16645217828261546,0.01944191362708807,0.004143117601051927,23.835982887334314
16,6.772934461251284,-0.12947381532981864,0.03895758972145044,0.16634949078926672,0.019464967399835588,0.004165479051880539,23.8185298208101
17,6.951910709723448,-0.12812049827641916,0.03881316668330095,0.16442589882092598,0.01932222843170166,0.0040577155305072665,23.925239889838743
18,6.746624456307827,-0.12817628842770548,0.03862332582282715,0.1641415550158574,0.019104800187051296,0.004082021117210388,23.89799933971519
19,6.721503986456455,-0.12935202420394648,0.03853467005567673,0.16384614461507552,0.01975665669888258,0.004329842887818814,23.64810650182209
20,6.606158683238886,-0.12862204673707991,0.03857064949205288,0.16395949186422887,0.019160796143114566,0.004022026504389942,23.97419766563461
21,6.475398055101052,-0.12758929311719708,0.03841728037939622,0.16338725854188968,0.019231877662241458,0.004079684824682772,23.900326390129415
22,6.502880415549645,-0.12633579658646876,0.03820919673412274,0.16193684461789254,0.019412371329963207,0.004194403300061822,23.784764832458343
23,6.440736131179027,-0.12646373868243307,0.038305529932945205,0.16171200856184348,0.01901378482580185,0.004038018942810595,23.951058064225315
24,6.411151307668441,-0.12551506021593373,0.03807640951604415,0.16118722756703693,0.019280866906046867,0.004153164313174784,23.832023576402193
25,6.38208459462875,-0.125333685026719,0.03796004697871514,0.16096141338348388,0.018967386893928052,0.003989117546007037,23.999423747866565
26,6.379093522291917,-0.12490988546966483,0.038043034544739965,0.1606570934637999,0.01889640185981989,0.0039607810089364644,24.035022196723858
27,6.364297927954258,-0.12422222404016409,0.03779944218695164,0.16028315654167763,0.019461227394640446,0.0040509621379896995,23.929603310076736
28,6.370273747810951,-0.12358435359266073,0.0378069599565023,0.1597638460306021,0.019062564149498938,0.0040306825889274474,23.952470935744095
29,6.431603159048619,-0.12355405055304869,0.03774723830895546,0.15978477887618237,0.01885495465248823,0.003953290567733347,24.038569956600956
30,6.411625602917794,-0.12323075545012442,0.037705121093835586,0.15955387415030065,0.018813505209982394,0.003941399022005498,24.0533006733683
31,6.447027230874086,-0.12231740526154511,0.0375157682177348,0.15845279571337578,0.01905329991132021,0.003978156787343323,24.018788915857705
32,6.409692408488347,-0.1217562035999744,0.03751514385908078,0.15809684686171702,0.019091707095503806,0.004080080473795533,23.89980273136635
33,6.418500769444001,-0.12187602015323623,0.03751644687010692,0.1584704509148231,0.01859187800437212,0.0038911978015676143,24.105149684708675
34,6.391331392679459,-0.12063841522376767,0.037363503539027315,0.1578363959605877,0.018406118825078012,0.0038104987237602473,24.20155586453317
35,6.428891126926128,-0.11991233281854889,0.03731855240005713,0.15675650193141058,0.018966303765773775,0.004002136667259038,23.993499405493903
36,6.439525968600542,-0.12084054929705777,0.03727143480418584,0.1579457658987779,0.018765885941684247,0.0039609848288819196,24.03418553701025
37,6.424792228600918,-0.11950668984880798,0.037148940744690405,0.1568888089595697,0.01890334989875555,0.004031806532293558,23.96276115481716
38,6.436147205646222,-0.11957405950778568,0.03713669013709594,0.15662258802316129,0.019064888171851636,0.004143195180222392,23.83453046907558
39,6.467827641658294,-0.11906876115080638,0.0371321224153806,0.15588838289945553,0.01876261904835701,0.004055074811913073,23.93114155667285
40,6.467333041704618,-0.118324990494129,0.036977746137059654,0.15582416730049328,0.01903551574796438,0.004155314504168927,23.82712140918551
41,6.521625765776023,-0.11838609108812792,0.0370562609571677,0.15612637874407645,0.01881613340228796,0.003982269624248147,24.00748005597312
