epoch,loss,l1,mse,psnr
1,0.0910777992435864,0.04198723969360193,0.0137160982315739,18.656915832480593
2,0.07886730866240603,0.0389814879745245,0.012540711089968681,19.053230668868608
3,0.07251680981633919,0.0352156696220239,0.010781309101730585,19.679211259157295
4,0.06682951695152692,0.03246057530244192,0.009644301142543554,20.189663700459807
5,0.06284787173249892,0.030470046835641067,0.008627592974031964,20.70064891456855
6,0.060700794349291494,0.029251371199886005,0.008756328762198487,20.62608376896679
7,0.0585657058815871,0.029475670928756397,0.008716413285583258,20.621115832599155
8,0.05565392079630068,0.028519493527710438,0.008090078520278135,20.963294074203258
9,0.055481041715081246,0.027688281921048958,0.007750884474565585,21.138644668252613
10,0.054206216375210454,0.02730741382886966,0.007852042249093453,21.063879139015878
11,0.052826638732637675,0.026846847186485927,0.007950004345426956,21.036139528967965
12,0.051337093979652436,0.026733286989231903,0.007683698475981752,21.18693457142189
13,0.05208307198647942,0.026016765894989174,0.00771948229521513,21.15102459135917
14,0.05154280683823994,0.025916863853732746,0.007346839411184192,21.399566629339784
15,0.05130970983632973,0.02714899865289529,0.007807668608923753,21.119476295745457
16,0.0502033364692969,0.024891669861972332,0.007120188480863969,21.545180672835965
17,0.04909133531951478,0.02495098952203989,0.0069146611882994575,21.620148429850584
18,0.05062403097482664,0.02543000690639019,0.007538967300206423,21.311150226376085
19,0.049571630345391374,0.025270566033820312,0.0072173671796917915,21.471450355017364
20,0.04949554029319968,0.024714613022903602,0.006946529805039366,21.626933969462844
