epoch,g_loss,d_loss,l1_loss,wasserstein_d,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr
1,22.020340368482803,0.7214383019280649,0.2310680453909768,0.30176740237077077,0.014406860899180174,0.0031123674707487226,25.09826847606035,0.10244878605008126,0.02213239036500454,16.578893952504586
2,16.793892440795897,0.14043291070284672,0.18557282527287802,0.3880123283598158,0.01221949327737093,0.0022356760106049477,26.544377975140293,0.08689417392015457,0.015898140240460636,18.025003410942716
3,14.304433867984347,0.9117750543377998,0.1734963590833876,0.40453436693880296,0.011291101574897766,0.0019797016866505146,27.091574233113352,0.08029227554798127,0.014077878277748822,18.57219969260866
4,14.13716250737508,-0.08180538225173947,0.16622161236074234,0.4024229108227624,0.011127616371959448,0.001955047284718603,27.190455800309746,0.07912971228361129,0.01390255829319358,18.671081206653216
5,15.594357512580023,0.24445253921438143,0.16128742255104914,0.39234784796502853,0.011000959668308496,0.0018559756805188953,27.38486310551186,0.07822904288768769,0.01319804871454835,18.865488630751273
6,16.855365153842502,0.04707050405829037,0.15774553367826674,0.3808807291454739,0.01050246339291334,0.0018403733614832164,27.41236428346763,0.07468418329954148,0.01308709941804409,18.89298965386963
7,16.290268722110323,-0.19190119975363779,0.15479496680365668,0.3885655435985989,0.010642898827791214,0.0018291208543814719,27.47549419689414,0.07568283379077911,0.01300708157941699,18.95611957532434
8,13.91078143734402,-0.05167752631063825,0.1527927273909251,0.3715693273676766,0.010518930945545435,0.0018973720143549144,27.315370080370617,0.07480128556489944,0.013492422737181186,18.795995601034807
9,14.285695420583089,-0.060368747936354564,0.15060058659977382,0.3547546131213506,0.010190860461443662,0.0017054347437806428,27.7163824025795,0.07246833816170692,0.012127535510808229,19.19700792418574
10,12.014834520975748,-0.15287558565095616,0.14816821287737952,0.3446621574163437,0.010064608883112669,0.0017938286066055298,27.61434750505229,0.07157054916024208,0.012756114173680545,19.094972961664922
11,11.091423893398709,1.521249223075532,0.1468931524819798,0.3276845975981818,0.009671594202518462,0.0015448148129507898,28.153537280254675,0.06877577751874923,0.010985349398106336,19.63416278765101
12,7.88518992529975,0.2598062032990981,0.1449319031768375,0.3237006730238597,0.009701155591756105,0.0016301325871609152,27.961235605227692,0.06898599304258823,0.01159205362200737,19.44186108818636
13,5.375386288960775,-0.09862800309282763,0.14316946230332056,0.3230613507429759,0.009381184447556734,0.0014937648549675942,28.29735078539312,0.06671064123511314,0.010622327588498593,19.77797624301104
14,1.4859901127285426,-0.1639112248773927,0.14240088387330374,0.3243377833896213,0.00952909579500556,0.0015638149576261639,28.141896095096104,0.06776245683431625,0.011120461579412221,19.622521587445508
15,-0.005985779656304253,0.5000222016440494,0.14114215430286195,0.3172097457912233,0.009762281272560357,0.0017255407175980509,27.72203771616098,0.06942066475749016,0.01227051131427288,19.202663217357365
16,-0.8299623688591851,-0.1390870298390037,0.14089534436331855,0.3196425825754801,0.00966424997895956,0.0015930259134620429,28.005960065581025,0.0687235526740551,0.01132818404585123,19.486585504796878
17,-1.6673367987738714,-0.1416443147129484,0.1393102677067121,0.3183529339366489,0.00962014039978385,0.0015956112183630466,28.08076804725145,0.06840988509356975,0.011346568446606397,19.56139348631357
18,-3.776850478278266,-0.12540595162908239,0.13838058115376367,0.3134403468767802,0.009423322882503271,0.0016021310002543032,28.01364442847028,0.06701029427349567,0.01139293136075139,19.494269865362888
19,-1.9668738839891222,-0.06037673810897046,0.13763915406333074,0.3057518917057249,0.009162172302603721,0.0015153949498198926,28.23271876508006,0.06515322364866734,0.010776141658425331,19.713344203646482
20,-2.550360856374105,-0.12213250928786056,0.1367280166745186,0.29644301782713994,0.009261840675026178,0.0014404377201572061,28.46236633316139,0.06586197540163993,0.01024311240762472,19.942991803683483
21,-4.745001874711779,-0.027570501711633454,0.13609446099069383,0.2885361308786604,0.009173501376062631,0.001509611145593226,28.299324501122804,0.06523378640413284,0.010735012218356132,19.779949989687978
22,-4.402247803158231,0.045265780490857596,0.13589183072249095,0.2932379448943668,0.009073046781122685,0.0014529727399349214,28.476224936542557,0.06451944150030613,0.010332250222563743,19.9568504357217
23,-6.1289912172953285,0.05889363878082339,0.13528602351082697,0.29567498681280346,0.009339134395122527,0.00146409667795524,28.405457994593867,0.06641161926090718,0.010411353968083858,19.886083423045328
24,-5.422294615851508,0.24002161520498763,0.13425207804308997,0.2882696477572123,0.009203805215656757,0.0015310395625419914,28.175107717804536,0.0654492799192667,0.010887392144650222,19.655733194135454
25,-3.1733600056966145,-0.0570881648582441,0.13317819478776718,0.2917111555205451,0.009903380926698447,0.0016381237772293388,27.940747245679187,0.07042404040694236,0.011648879759013653,19.421372774749205
26,-4.958846541934543,0.03315325827510258,0.1325789540807406,0.2889833678272035,0.008895834209397435,0.0014349245466291904,28.51275755792052,0.06325926370918751,0.010203907592222094,19.993383038552377
27,-0.6104776513841417,0.09436502670358717,0.1326955223944452,0.2818091058333715,0.009010860836133361,0.0015007090696599334,28.33458879290341,0.0640772320330143,0.010671708732843399,19.81521425017284
28,-7.623642321692572,-0.0866421269421225,0.1321015043788486,0.28076677858829496,0.009076408948749304,0.0014771360089071094,28.316859620919058,0.0645433496683836,0.01050407811999321,19.797485044675064
