epoch,g_loss,d_loss,l1_loss,wasserstein_d,l1,mse,psnr
1,9.565886735916138,2.7941002148159213,0.09387305339000054,0.9272635472672326,0.045638651897509895,0.01659437579413255,17.810610742062174
2,7.730509051254818,0.7408254580084412,0.07953191974333354,0.5237879609423024,0.03872780688107014,0.012681859390189251,18.994306428731424
3,6.783529967069626,0.7935641693683075,0.0717080389149487,0.4138294975938542,0.034712020928661026,0.010800704515228668,19.676436948613325
4,7.039765677281788,0.5818061633700771,0.06634863372892141,0.34594797316406456,0.030989831623931725,0.008983811518798271,20.47506386054393
5,4.482538789510727,0.8160209216044417,0.06393740372732282,0.380856827167528,0.03032897754261891,0.008855177167182168,20.562180703760806
6,6.441337730203356,0.47456337236577556,0.06144446320831776,0.3578388611120837,0.030786910094320774,0.009556503112738332,20.291161271843986
7,4.2092956219400675,0.5155674600419365,0.0601675143864538,0.409605577055897,0.029272666200995445,0.009014573879539967,20.45386002552615
8,5.255344625030245,0.1609996696934104,0.059279458464256356,0.4101029283234051,0.030470704349378746,0.009332483479132255,20.379920163471475
9,3.3151616837297166,0.2577161550787942,0.05712920480540821,0.3957329952557172,0.02958541177213192,0.009296212811022997,20.331417846991247
10,3.717298831258501,1.4009919535989561,0.057733363804540465,0.43765264430216383,0.030320568320651848,0.009274510821948448,20.36365233654896
11,3.205758192709514,0.06789844083998883,0.05652732076123357,0.47855969624859945,0.03116730321198702,0.010259360230217377,19.90536474727445
12,3.5545684014047896,0.24984653143300897,0.055805156872208626,0.4605605285614729,0.027822556905448437,0.008472943988939127,20.752936588131025
13,2.8720028485570634,-0.08919919761163851,0.05507886003968971,0.5195815185351031,0.031339117946724095,0.010024333372712135,20.025220095753
14,3.8529618680477142,1.0812947428120032,0.05403118294530681,0.43193711446864264,0.027380104176700115,0.00820805667899549,20.885739178579996
15,3.6742902270385196,0.2532772170379758,0.05396275195692267,0.4516497493854591,0.028462644666433334,0.00873839141180118,20.61541569890769
16,2.0076111682823727,-0.08242265622885454,0.053074537842933624,0.5037750128124442,0.02650357938061158,0.008222490393867096,20.880954767905564
17,2.9916209237916127,0.04541961378639655,0.05356166997392263,0.4935951844922134,0.025508107617497444,0.007493889657780528,21.314256493210284
18,4.933915713003704,3.217194295887437,0.05243994455252375,0.4865574597248009,0.026076406240463257,0.007796892741074164,21.127746807590114
19,3.2946729447160448,0.12848230336038838,0.05226839413600309,0.48359499286328045,0.02722274387876193,0.008316777180880308,20.851655670698687
20,3.306816224540983,0.792898795168315,0.05242599167727998,0.46036153233477045,0.028674866383274395,0.009147520177066326,20.440999473717817
21,1.9193497938769204,1.0194771954168873,0.05167786357924342,0.441682656960828,0.025681625120341778,0.007878760807216167,21.0620812778462
22,0.5179198512009212,0.538583500709917,0.05126897844352892,0.5106785808290754,0.02611386434485515,0.007988662691786885,21.119637424348973
23,1.5379896206515176,-0.007390247214408141,0.050976592781288285,0.5119974096970898,0.026676122409602005,0.008253549924120307,20.84018401182356
24,3.2773170598915646,-0.12540944541494053,0.05106072719874127,0.534159032361848,0.024455142207443714,0.006969052832573652,21.619822674889463
25,0.5960598843438285,-0.13855679896438405,0.05046888254582882,0.5671934634447098,0.025949946604669094,0.008024519542232156,20.966605079721063
26,-0.8200184873172215,-0.18333656407360516,0.05040396450619612,0.5821184499987534,0.02709440483401219,0.008142134873196483,20.94377618398988
27,-1.3340913014752525,-0.007034214834372232,0.05016793556777494,0.5775562929255622,0.025311170766750973,0.007545728391657273,21.2547820787558
28,-0.6197755379336221,0.7942779186580863,0.04975869885778853,0.46542236528226305,0.025357369643946488,0.0075593802612274885,21.24764442364665
29,-0.13659162180764334,0.2178096383632648,0.049813122555081336,0.497555136680603,0.02488253389795621,0.006991484668105841,21.57093102716406
30,1.7306435704231262,0.1888686411437534,0.04994898908106344,0.5107547837708678,0.024348122999072075,0.00673224179384609,21.741177511497398
31,2.4274451775210246,0.28617100089433656,0.049674075828599076,0.4881351635392223,0.02615611720830202,0.00800172231780986,21.016363401023042
32,1.7964839466980524,0.15796216346678274,0.04887942151565637,0.5042131505906582,0.024453050767381985,0.0071700147818773985,21.486704786904156
33,-0.12295945201601301,0.061284051232394735,0.049346233784620254,0.5512717972908702,0.024854690146942932,0.007309003422657649,21.412750297271035
34,3.201631873846054,0.07333825679407223,0.0484983500625406,0.49880164702023777,0.025001284045477707,0.007168745544428627,21.479537927896164
35,-0.3168997977461134,-0.029576565626831305,0.04863313053335462,0.5394844806620053,0.025735423279305298,0.007892874147122106,21.08668624291195
36,-0.3987513950892857,-0.008057160480391398,0.0480694995660867,0.5518586457307849,0.02605802131195863,0.00840476667508483,20.880108048595204
37,-1.7096709864480155,-0.09651701099106244,0.04843618428068502,0.5806626996823719,0.025854036211967468,0.007908856418604652,21.081138333312634
38,-1.3558460431439536,-0.18228900698678835,0.0487932194955647,0.6028646970433849,0.024893967745204765,0.007537187775596976,21.27690313101549
39,-0.9588434227875301,-0.1363125971208016,0.04892420156725815,0.5957290993205139,0.025526646835108597,0.007861892925575376,21.05260978240484
40,-0.8582143059798649,0.19873951677055582,0.047353436571678946,0.5249914888824735,0.026033664122223854,0.007957967153439919,21.010109861914053
