epoch,loss,full_l1,full_mse,full_psnr,hole_l1,hole_mse,hole_psnr
1,0.16509306418895722,0.009409283753484488,0.001362521469127387,28.730140822713206,0.06691045835614204,0.009689041087403894,20.210766369789123
2,0.13127130083243052,0.008526672516018153,0.0011593245551921427,29.437709367788592,0.06063411384820938,0.008244085451588034,20.918334866517064
3,0.12146979111433029,0.008180009433999658,0.0010973177209962159,29.65821358773586,0.05816895440220833,0.007803147984668612,21.138839075771365
4,0.11506371933221816,0.00811138586141169,0.0010740435449406505,29.812840190715985,0.05768096372485161,0.0076376426499336954,21.293465741335282
5,0.10991556616624196,0.007929371250793339,0.0010401373729109764,29.91948098195228,0.05638663768768311,0.007396532129496336,21.400106508610712
6,0.10480856973595089,0.007806017203256488,0.0010304776777047663,29.969535310578884,0.05550945401191711,0.007327841082587838,21.45016074507472
7,0.10041435681449043,0.007681184774264693,0.0009890667104627937,30.127360409122247,0.054621755704283716,0.007033363124355674,21.607985854447623
8,0.09593078721894158,0.007675034459680319,0.0010051241610199214,30.068964187555316,0.05457802079617977,0.007147549418732524,21.549589645218298
9,0.09228307797511419,0.007623037975281477,0.0009862787381280213,30.15534925649493,0.05420826822519302,0.007013537548482418,21.63597471255778
10,0.08853090218702953,0.00773249389603734,0.0009761317633092403,30.186723268395514,0.05498662069439888,0.006941381236538291,21.66734875800849
11,0.08516427505016327,0.007546787103638053,0.0009719104738906026,30.21160910868982,0.053666040673851965,0.006911363080143928,21.692234632442954
12,0.08211587500572205,0.007507660146802664,0.0009627156890928745,30.26297528374746,0.05338780321180821,0.006845978181809187,21.74360069699463
13,0.07947333729929394,0.007549202023074031,0.0009700341557618231,30.21209093716768,0.053683212772011754,0.006898020533844829,21.692716369189476
14,0.07698089006874297,0.007565678097307682,0.0009781777916941792,30.19164651929296,0.053800375759601594,0.006955930683761835,21.67227203113895
15,0.07482149080435435,0.007556120539084077,0.0009827874542679637,30.176241472626174,0.053732411563396455,0.006988710584118962,21.656866945004623
16,0.07275533398985863,0.007551054237410426,0.0009885601175483316,30.133651445229,0.05369638502597809,0.007029760582372546,21.61427694241331
17,0.07090850383043289,0.007410860201343894,0.0009548501169774681,30.288142358131374,0.05269944816827774,0.006790044996887445,21.76876788724838
18,0.06923926356434822,0.007482663914561272,0.000957604352151975,30.25194884658285,0.0532100535929203,0.006809630757197737,21.732574326205082
19,0.06760671710968018,0.007521034870296717,0.0009771348210051655,30.176393725732044,0.05348291397094727,0.006948514049872756,21.65701921957703
20,0.0661641114420361,0.007450901390984655,0.0009660956682637333,30.22853327756423,0.05298418588936329,0.006870013335719705,21.709158824314663
